Epoca,Erro
265,0.9470333463230388
266,0.94573222313618
267,0.9444177244865477
268,0.9430897645388254
269,0.9417482573319422
270,0.9403931167211409
271,0.9390242563166885
272,0.9376415894192235
273,0.9362450289517346
274,0.934834487388189
275,0.9334098766788277
276,0.9319711081721547
277,0.9305180925336685
278,0.9290507396613792
279,0.9275689585981817
280,0.9260726574411577
281,0.9245617432478918
282,0.923036121939908
283,0.9214956982033363
284,0.9199403753869402
285,0.9183700553976455
286,0.9167846385937277
287,0.9151840236758351
288,0.9135681075760265
289,0.9119367853450365
290,0.9102899500379822
291,0.9086274925987529
292,0.9069493017433354
293,0.9052552638423456
294,0.9035452628030555
295,0.9018191799512305
296,0.9000768939130892
297,0.8983182804977475
298,0.8965432125804929
299,0.8947515599872871
300,0.8929431893808875
301,0.8911179641490139
302,0.8892757442950006
303,0.8874163863313884
304,0.8855397431769431
305,0.8836456640575893
306,0.8817339944117849
307,0.8798045758008657
308,0.8778572458249151
309,0.8758918380447346
310,0.8739081819104981
311,0.8719061026977035
312,0.8698854214510382
313,0.8678459549368012
314,0.8657875156045333
315,0.8637099115585211
316,0.8616129465398585
317,0.8594964199197493
318,0.8573601267047608
319,0.8552038575547305
320,0.8530273988140458
321,0.8508305325570173
322,0.8486130366480689
323,0.8463746848174735
324,0.8441152467533531
325,0.8418344882106671
326,0.8395321711378996
327,0.8372080538221518
328,0.8348618910533273
329,0.8324934343080892
330,0.8301024319542428
331,0.8276886294761763
332,0.8252517697219691
333,0.822791593172741
334,0.8203078382347817
335,0.8178002415549677
336,0.815268538359919
337,0.8127124628193092
338,0.8101317484336835
339,0.8075261284470848
340,0.804895336284726
341,0.8022391060158705
342,0.7995571728420269
343,0.7968492736104634
344,0.7941151473529867
345,0.7913545358498244
346,0.7885671842183689
347,0.7857528415264368
348,0.7829112614295922
349,0.7800422028319867
350,0.7771454305700407
351,0.7742207161181913
352,0.7712678383157973
353,0.7682865841141786
354,0.7652767493426404
355,0.762238139492194
356,0.7591705705155666
357,0.7560738696419518
358,0.7529478762048198
359,0.7497924424809724
360,0.7466074345388908
361,0.7433927330942942
362,0.7401482343706883
363,0.7368738509625582
364,0.7335695126987343
365,0.7302351675033247
366,0.7268707822515117
367,0.7234763436173735
368,0.7200518589108066
369,0.7165973569005185
370,0.7131128886199724
371,0.7095985281530941
372,0.7060543733964785
373,0.7024805467947842
374,0.6988771960459621
375,0.695244494772941
376,0.6915826431583785
377,0.6878918685391022
378,0.6841724259568762
379,0.6804245986621864
380,0.6766486985677913
381,0.6728450666488681
382,0.6690140732866922
383,0.6651561185529067
384,0.6612716324315897
385,0.6573610749764873
386,0.6534249364009785
387,0.6494637370985367
388,0.6454780275916931
389,0.6414683884077534
390,0.6374354298797862
391,0.6333797918716939
392,0.629302143426482
393,0.6252031823371548
394,0.6210836346400097
395,0.6169442540304318
396,0.6127858212016628
397,0.608609143107356
398,0.6044150521491154
399,0.6002044052905642
400,0.5959780830998674
401,0.5917369887229814
402,0.5874820467902704
403,0.583214202259457
404,0.5789344191982284
405,0.5746436795101117
406,0.5703429816075467
407,0.5660333390363591
408,0.5617157790560845
409,0.557391341180835
410,0.5530610756855907
411,0.5487260420829807
412,0.5443873075757583
413,0.5400459454902855
414,0.5357030336964259
415,0.5313596530192845
416,0.5270168856482546
417,0.5226758135488075
418,0.5183375168824068
419,0.514003072439852
420,0.5096735520932308
421,0.5053500212715286
422,0.5010335374647517
423,0.4967251487612423
424,0.4924258924226229
425,0.4881367935005716
426,0.48385886349936036
427,0.4795930990878027
428,0.47534048086396874
429,0.47110197217569827
430,0.466878517999644
431,0.4626710438812285
432,0.4584804549375845
433,0.4543076349252031
434,0.45015344537368895
